匂,にお∙う fragrant
畝,せ/ボウ furrow
嗣,シ heir
瞥,ベツ glance at
戚,いた∙む/ソク grieve
弓,ゆみ/キュウ bow
簀,す/サク rough mat (reeds)
楕,ダ ellipse
恪,つつし∙む/カク carefulness
證,あかし/ショウ proof
思,おも∙う/シ think
塗,ぬ∙る/ト paint
漬,つ∙ける/シ pickling
柔,やわ∙らか/ジュウ tender
擡,もた∙げる/タイ lift
沁,し∙みる/シン penetrate
康,コウ ease
層,ソウ stratum
欄, railing
萩,はぎ/シュウ bush clover
貨,たから/カ freight
眉,まゆ/ビ eyebrow
碧,ヘキ blue
則,のっと∙る/ソク rule
隈,くま/ワイ corner
錘,つむ/スイ weight
巢, nest
末,すえ/マツ end
市,いち/シ market
言,い∙う/ゲン say
勺,シャク ladle
纏,まつ∙わる/テン wear
働,はたら∙く/ドウ work
膜,マク membrane
友,とも/ユウ friend
威,おど∙す/イ intimidate
睾,コウ testicles
候,そうろう/コウ climate
点,つ∙ける/テン spot
珈,かみかざり/カ ornamental hairpin
鮹,たこ/ショウ octopus
距,へだ∙たる/キョ long-distance
阜,フ hill
齋,つつし∙む/サイ Buddhist food
燦,さん∙たる/サン brilliant
趨,しゅ/スウ run
牌,ぱい/ハイ label
頭,あたま/トウ head
慘,みじ∙め/サン sad
卯,う/ボウ sign of the hare or rabbit
亡,な∙い/ボウ deceased
娼,あそびめ/ショウ prostitute
掲,かか∙げる/ケイ put up (a notice)
堅,かた∙い/ケン strict
靄,もや/アイ mist
鮊,みごい/ハク 
門,かど/モン gate
蒙,こうむ∙る/モウ ignorance
禦,ふせ∙ぐ/ギョ defend
讀,よ∙む/ドク read
旧,ふる∙い/キュウ old times
檻,おり/カン pen
湾,いりえ/ワン gulf
護,まも∙る/ゴ safeguard
織,お∙る/ショク weave
如,ごと∙し/ジョ likeness
買,か∙う/バイ buy
寫,うつ∙す/シャ be photographed
杖,つえ/ジョウ staff
湖,みずうみ/コ lake
存,ながら∙える/ソン exist
搭,トウ board
諷,そら∙んじる/フウ hint
才,サイ genius
芽,め/ガ bud
盧,ロ hut
喬,たか∙い/キョウ high
錦,にしき/キン brocade
版,ハン printing block
禅,しずか/ゼン Zen
校,コウ exam
毬,いが/キュウ burr
燐,リン phosphorus
卓,タク eminent
伽,とぎ/カ nursing
仕,つか∙える/シ attend
審,つまび∙らか/シン hearing
戸,と/コ door
然,しか/ゼン sort of thing
私,わたくし/シ private
令,レイ orders
腋,わき/エキ armpit
畜,チク livestock
俸,ホウ stipend
寇,あだ∙する/コウ bandits
鰶,このしろ/セイ 
髓,ズイ marrow
穏,おだ∙やか/オン calm
獸,けもの/ジュウ beast
錆,さび/ショウ tarnish
拡,ひろ∙がる/カク broaden
肢,シ limb
努,つと∙める/ド toil
髄,ズイ marrow
跡,あと/セキ tracks
峠,とうげ mountain peak
價,あたい/カ price
翰,はね/カン letter
整,ととの∙える/セイ organize
罰,ばっ∙する/バツ penalty
汽,キ vapor
渦,うず/カ whirlpool
鋼,はがね/コウ steel
堕,お∙ちる/ダ degenerate
錄,しるす/ロク copy
靜,しず-/セイ quiet
待,ま∙つ/タイ wait
羨,うらや∙む/セン envious
彪,あや/ヒョウ spotted
藤,ふじ/トウ wisteria
琉,リュウ precious stone
囑,しょく∙する/ショク request
舶,ハク liner
傳,つた∙わる/テン summon
嘯,うそぶ∙く/ショウ roar
寨,とりで/サイ fort
泌,ヒツ ooze
呷,あお∙る/コウ sip
椎,つち/ツイ chinquapin
誉,ほま∙れ/ヨ reputation
蘆,あし/ロ reed
患,わずら∙う/カン afflicted
轟,とどろ∙かす/ゴウ roar
難,かたい/ナン 
謀,はか∙る/ボウ conspire
寿,ことぶき/ジュ longevity
駈,か∙ける/ク run
爵,シャク baron
鮗,このしろ gizzard shad
堪,た∙える/カン withstand
僞,いつわ∙る/ギ lie
妃,きさき/ヒ queen
晰,あきらか/シャク clear
芒,すすき/ボウ pampas grass
劑,かる/ザイ medicine
擢,ぬ∙く/テキ excel in
聳,そび∙える/ショウ rise
囚,とら∙われる/シュウ captured
巨,キョ gigantic
痺,しび∙れる/ヒ palsy
壜,びん/ドン bottle
掘,ほ∙る/クツ dig
凹,くぼ∙む/オウ concave
叙,つい∙ず/ジョ confer
畿,みやこ/キ capital
符,フ token
摸,モ search
林,はやし/リン grove
號,さけ∙ぶ/コウ mark
遍,あまね∙く/ヘン everywhere
逝,ゆ∙く/セイ departed
露,つゆ/ロ dew
聲,こえ/セイ sound
柱,はしら/チュウ pillar
声,こえ/セイ voice
肅,つつし∙む/シュク quietly
茸,きのこ/ジョウ mushroom
磐,いわ/バン rock
俎,いた/ソ altar of sacrifice
頰,ほお/キョウ cheeks
葛,つづら/カツ arrowroot
些,ち∙と/サ a little bit
尺,シャク shaku
芻,まぐさ/スウ grass cutting
主,ぬし/シュ lord
有,あ∙る/ユウ possess
嵯,サ steep
邊,あた∙り/ヘン edge
紳,シン sire
抄,ショウ extract
淘,よな∙げる/トウ select
尭,たか∙い/ギョウ high
貞,さだ/テイ upright
蚊,か/ブン mosquito
桁,けた/コウ beam
盛,も∙る/セイ boom
篇,ヘン volume
感,カン emotion
汐,しお/セキ eventide
丁,ひのと/チョウ street
餉,け/ショウ (dried) boiled rice
汀,みぎわ/テイ water's edge
彗,ほうき/スイ comet
蒋,まこも/ショウ reed
臀,しり/デン buttocks
果,は∙たす/カ fruit
持,も∙つ/ジ hold
醫,い∙やす/イ medicine
酬,むく∙いる/シュウ repay
縋,すが∙る/ツイ cling
陛,ヘイ highness
掻,か∙く/ソウ scratch
迦,カ (used phonetically)
膵,スイ pancreas
俐,かしこ∙い/リ clever
開,ひら∙く/カイ open
採,と∙る/サイ pick
痣,あざ/シ birthmark
獨,ひと∙り/ドク alone
書,か∙く/ショ write
拓,ひら∙く/タク clear (the land)
熟,う∙れる/ジュク mellow
展,テン unfold
流,なが∙れる/リュウ current
迂,ウ roundabout way
緑,みどり/リョク green
膣,チツ vagina
血,ち/ケツ blood
藁,わら/コウ straw
呉,く∙れる/ゴ give
域,イキ range
疎,うと∙い/ソ alienate
狀,ジョウ form
凍,こお∙る/トウ frozen
馘,くびき∙る/カク behead
卸,おろ∙す/シャ wholesale
窟,いわや/クツ cavern
色,いろ/ショク color
偲,しの∙ぶ/サイ recollect
摺,す∙る/ショウ rub
皓,しろ∙い/コウ white
頁,ぺえじ/ケツ page
絡,から∙む/ラク entwine
砦,とりで/サイ fort
牛,うし/ギュウ cow
踐,ふ∙む/セン step on
宅,タク home
瑚,コ ancestral offering receptacle
晶,ショウ sparkle
倣,なら∙う/ホウ emulate
粒,つぶ/リュウ grains
勿,なか∙れ/モチ not
卒,そっ∙する/ソツ graduate
賭,か∙ける/ト gamble
憚,はばか∙る/タン hesitate
名,な/メイ name
